,imdb_id,imdb_rating,imdb_votes,title,year_of_release,genres
2599,tt0093949,6.3,1638,Shahenshah,1988,Action|Adventure
2600,tt0096140,6,49,Soorma Bhopali,1988,Comedy
2601,tt0376886,5.6,14,Shiva Shakti,1988,Action|Crime|Drama
2602,tt0096028,8,7885,Salaam Bombay!,1988,Crime|Drama
2603,tt0096390,5.5,179,Vijay,1988,Action|Drama|Romance
2604,tt0096252,7,1712,Tezaab,1988,Action|Drama|Romance
2605,tt0094979,6.1,874,The Deceivers,1988,Adventure|Drama|Thriller
2606,tt0448812,6.4,21,Tohfa Mohabbat Ka,1988,Drama|Romance
2607,tt0300575,7.5,55,Trishagni,1988,Drama
2608,tt0260494,6.7,581,Veerana,1988,Action|Drama|Horror
2609,tt0390669,6,7,Zulm Ko Jala Doonga,1988,Action
2610,tt0230978,6.5,38,Woh Phir Aayegi,1988,Horror|Mystery|Thriller
2611,tt0367214,6.7,121,Waaris,1988,Drama
2612,tt0096415,6.5,71,Waqt Ki Awaz,1988,Action|Crime|Drama
2613,tt0096477,6.3,154,Yateem,1988,Action|Drama
2614,tt0364135,6.2,48,Zakhmi Aurat,1988,Drama|Thriller
2615,tt0358302,6,65,Zalzala,1988,Action|Adventure
2616,tt0177487,5.5,83,Aag Hi Aag,1987,Action
2617,tt0156256,6.3,261,Aaj,1987,Drama
2618,tt0313213,6.3,21,Apne Apne,1987,Drama|Family
2619,tt0186838,6.5,91,Aulad,1987,Drama
2620,tt0158477,6.1,43,Avam,1987,Adventure|Mystery|Thriller
2621,tt0266439,6.6,228,Dacait,1987,Action|Drama
2622,tt0449892,5.7,38,Dadagiri,1987,Action|Crime|Drama
2623,tt0260838,5.3,55,Dak Bangla,1987,Horror
2624,tt0270299,5.6,29,Daku Hasina,1987,Action|Drama
2625,tt0317312,6,224,Dance Dance,1987,Drama|Musical|Romance
2626,tt0405864,4.8,21,Deewana Tere Naam Ka,1987,Drama|Romance
2627,tt0385655,5.4,16,Dil Tujhko Diya,1987,Romance
2628,tt0095300,5.4,125,Hifazat,1987,Drama|Family
2629,tt0317637,5.9,34,Hawalaat,1987,Action|Crime|Drama
2630,tt1002683,5.4,27,Hiraasat,1987,Action|Crime|Drama
2631,tt0092888,5.1,18,Diljalaa,1987,Action|Drama
2632,tt0154589,5.5,31,Himmat Aur Mehanat,1987,Action|Drama
2633,tt0091256,8.2,1180,Permission,1987,Drama|Musical|Romance
2634,tt0359457,5.6,52,Imaandaar,1987,Action|Crime|Drama
2635,tt0361746,6,101,Inaam Dus Hazaar,1987,Action|Thriller
2636,tt0359440,6.2,118,Hukumat,1987,Action|Drama
2637,tt0231796,4.7,42,Insaniyat Ke Dushman,1987,Action
2638,tt0093263,6.9,56,Insaaf,1987,Action|Drama
2639,tt0230346,5.5,37,Jaan Hatheli Pe,1987,Action
2640,tt0093293,6.7,129,Jalwa,1987,Action|Thriller
2641,tt0260097,4.7,23,Insaf Ki Pukar,1987,Action|Drama
2642,tt0093287,5.1,26,Itihaas,1987,Drama|Family
2643,tt0156691,6.5,162,'Kaash',1987,Drama|Family
2644,tt0095432,6.8,18,Kaun Jeeta Kaun Haara,1987,Comedy|Drama
2645,tt0359549,4.4,13,Khazana,1987,Action|Crime|Drama
2646,tt0248135,5.8,258,Khudgarz,1987,Drama|Family|Musical
2647,tt0359614,6,179,Loha,1987,Action|Crime|Drama
2648,tt0386551,3.4,5,Fire,1986,Action|Drama|Thriller
2649,tt0368022,4.4,8,Mera Yaar Mera Dushman,1987,Musical
2650,tt0357879,5.3,6,Madadgaar,1987,Action|Crime|Drama
2651,tt0234207,6.1,78,Marte Dam Tak,1987,Drama
2652,tt0154846,4.9,14,Mard Ki Zabaan,1987,Action
2653,tt0154821,5,23,Majaal,1987,Drama
2654,tt0215987,5.5,19,Mera Karam Mera Dharam,1987,Drama
2655,tt0427524,5.6,29,Mera Lahoo,1987,Action|Crime|Drama
2656,tt0158107,7,57,Pratighaat,1987,Action|Crime|Drama
2657,tt0093578,7.8,12671,Mr. India,1987,Action|Comedy|Drama
2658,tt0239682,6.2,24,Muqaddar Ka Faisla,1987,Drama|Family
2659,tt0361941,3.7,21,Naam O Nishan,1987,Action|Thriller
2660,tt0089599,7.7,998,Mirch Masala,1987,Drama|Thriller
2661,tt0093604,6.3,72,Nazrana,1987,Romance
2662,tt0363876,6,16,Param Dharam,1987,Action|Crime|Drama
2663,tt0359808,6.7,39,Parivaar,1987,Drama|Family
2664,tt0363914,6.8,47,Pyaar Karke Dekho,1987,Drama|Family
2665,tt0350005,7.4,32,Pyaar Ki Jeet,1987,Comedy|Drama|Musical
2666,tt0363972,4.3,21,Sadak Chhap,1987,Crime|Drama
2667,tt0362999,5.2,26,Pyar Ke Kabil,1987,Drama|Family|Romance
2668,tt0230737,6.8,82,Satyamev Jayate,1987,Action|Drama
2669,tt0359990,5.5,84,Sindoor,1987,Drama
2670,tt0243561,5.6,25,Sitapur Ki Geeta,1987,Action|Crime
2671,tt0094081,7.3,23,Susman,1987,Drama
2672,tt0350177,6.5,35,Sutradhar,1987,Drama
2673,tt0094132,6.1,52,Thikana,1987,Crime|Drama
2674,tt0096355,4.7,90,Uttar Dakshin,1987,Action|Drama
2675,tt0094299,6.2,93,Watan Ke Rakhwale,1987,Action|Adventure|Crime
2676,tt0369063,7.8,34,Yeh Woh Manzil To Nahin,1987,Drama
2677,tt0177478,5.8,5,Aadamkhor,1986,Horror
2678,tt0154104,4.3,30,Aag Aur Shola,1986,Action
2679,tt0090577,5.8,39,Aap Ke Saath,1986,Drama
2680,tt0280398,6.3,32,Adhikar,1986,Drama|Family|Romance
2681,tt0090575,7,1096,Aakhree Raasta,1986,Action|Crime|Drama
2682,tt0358926,6.1,28,Aisa Pyaar Kahan,1986,Drama|Romance
2683,tt0090611,5.5,108,Allah-Rakha,1986,Action|Drama
2684,tt0233206,7,119,Amrit,1986,Drama|Family
2685,tt2619760,6.6,9,Amma,1986,Drama
2686,tt0231140,6.7,44,Andheri Raat Mein Diya Tere Haath Mein,1986,Comedy|Drama
2687,tt0157316,7.6,362,Ankush,1986,Drama
2688,tt0366182,7.2,43,Anokha Rishta,1986,Drama
2689,tt0239246,5.5,26,Avinash,1986,Action|Crime|Drama
2690,tt0395453,6.5,159,Anubhav,1986,Comedy|Drama
